C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2026/03/09,04:05:02,0000000506989736,,0000000506989730
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,RAISE1SECLOCALDISPATCH,LOWER1SECLOCALDISPATCH
D,DREGION,,2,"2026/03/08 18:25:00",1,NSW1,0,88.95495,0,88.95495,0,0,8313.71,-9,7420.03,0,-893.68,0,,,25,,,,,,,,5,,,,,,,,5,,,,,,,,46,,,,,,,,37,,,,,,,,71.75,,,,,,-25.26459,13150.04354,689,8420.42622,8363.01,,82,,,,6,,,,,,,,,,,,,,,,,,,0.09,0.09,0,0.05,0.05,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,3.47,3.47,0,0,0,0,0.04,0.04,0,32,0
D,DREGION,,2,"2026/03/08 18:25:00",1,QLD1,0,93.95,0,93.95,0,0,7949.48,2,7897.65,0,-51.83,0,,,143.78,,,,,,,,125,,,,,,,,125,,,,,,,,115,,,,,,,,251.75,,,,,,,,286,,,,,,0,12273.3531,1835,7967.72245,7950.19,,35,,,,34,,,,,,,,,,,,,,,,,,,0.09,0.09,0,0.05,0.05,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,3.47,3.47,0,0,0,0,0.04,0.04,0,139,0
D,DREGION,,2,"2026/03/08 18:25:00",1,SA1,0,61.4195,0,61.4195,0,0,1232.23,25,1212.4,0,-19.83,0,,,44,,,,,,,,69,,,,,,,,69,,,,,,,,93,,,,,,,,99,,,,,,,,98,,,,,,0,3324.92372,633,1217.19011,1232.18,,46,,,,60,,,,,,,,,,,,,,,,,,,0.09,0.09,0,0.05,0.05,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,3.47,3.47,0,0,0,0,0.04,0.04,0,52.41,0
D,DREGION,,2,"2026/03/08 18:25:00",1,TAS1,0,106.60955,0,106.60955,0,0,1028.5,0,1028.5,0,0,0,,,3.41,,,,,,,,103.41,,,,,,,,103.41,,,,,,,,26.28,,,,,,,,126.28,,,,,,,,126.28,,,,,,0,1771.46717,0,1028.49622,1028.5,,50,,,,50,,,,,,,,,,,,,,,,,,,1.06708,1.06708,0,0.38,0.38,0,0.38,0.38,0,4.29792,4.29792,0,0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,0.99,0.99,0,0,0,0,0,0,0,0,0
D,DREGION,,2,"2026/03/08 18:25:00",1,VIC1,0,55.96,0,55.96,0,0,5047.32,17,6155.65,0,1108.33,0,,,69,,,,,,,,212.93,,,,,,,,98.85,,,,,,,,207.6,,,,,,,,218,,,,,,,,150,,,,,,0,10710.84144,661,5156.21759,5140.34,,47,,,,124,,,,,,,,,,,,,,,,,,,0.09,0.09,0,0.05,0.05,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,3.47,3.47,0,0,0,0,0.04,0.04,0,110,1
D,DREGION,,2,"2026/03/08 16:45:00",1,NSW1,0,99,0,99,0,0,8162.39,64,8588.26,218,207.87,0,,,25,,,,,,,,15,,,,,,,,5,,,,,,,,78,,,,,,,,73,,,,,,,,74,,,,,,50,15520.01452,385,8258.4438,8369.88,,64,,,,12,,,,,,,,,,,,,,,,,,,0.05,0.05,0,0.03,0.03,0,0.01,0.01,0,19.83,19.83,0,0.03,0.03,0,0.1,0.1,0,0.09,0.09,0,3.7,3.7,0,0,0,0,0.01,0.01,0,62,0
D,DREGION,,2,"2026/03/08 16:45:00",1,QLD1,0,102.1,0,102.1,0,0,7632.11,48,7739.16,32,75.05,0,,,191.67,,,,,,,,221.55,,,,,,,,184.46,,,,,,,,115,,,,,,,,127,,,,,,,,212,,,,,,11.64179,12260.15041,1832,7598.67958,7663.16,,47,,,,28.22,,,,,,,,,,,,,,,,,,,0.05,0.05,0,0.03,0.03,0,0.01,0.01,0,19.83,19.83,0,0.03,0.03,0,0.1,0.1,0,0.09,0.09,0,3.7,3.7,0,0,0,0,0.01,0.01,0,65.48,0
D,DREGION,,2,"2026/03/08 16:45:00",1,SA1,0,-41.97,0,-41.97,0,0,561.24,32,261.21,20.21,-320.23,0,,,18,,,,,,,,48,,,,,,,,48,,,,,,,,61.48,,,,,,,,85,,,,,,,,93,,,,,,6.80854,3092.25928,175,527.55666,584.03,,13,,,,55,,,,,,,,,,,,,,,,,,,0.05,0.05,0,0.03,0.03,0,0.01,0.01,0,19.83,19.83,0,0.03,0.03,0,0.1,0.1,0,0.09,0.09,0,3.7,3.7,0,0,0,0,0.01,0.01,0,18,0
D,DREGION,,2,"2026/03/08 16:45:00",1,TAS1,0,95.97489,0,95.97489,0,0,940.04,7,810.63,0,-129.41,0,,,0,,,,,,,,19.36,,,,,,,,19.36,,,,,,,,0,,,,,,,,35,,,,,,,,35,,,,,,11.18616,1804.63238,0,921.85535,940.04,,50,,,,50,,,,,,,,,,,,,,,,,,,0.38,0.38,0,0.38,0.38,0,0.01,0.01,0,5.02,5.02,0,0.38,0.38,0,0.38,0.38,0,0.09,0.09,0,0.99,0.99,0,0,0,0,0.01,0.01,0,0,0
D,DREGION,,2,"2026/03/08 16:45:00",1,VIC1,0,-7.25,0,-7.25,0,0,4327.8,50,4529.04,35,166.24,0,,,53,,,,,,,,109,,,,,,,,35,,,,,,,,211,,,,,,,,280.71,,,,,,,,186.71,,,,,,25.71848,12182.1246,293,4293.03837,4371.19,,36,,,,74.78,,,,,,,,,,,,,,,,,,,0.05,0.05,0,0.03,0.03,0,0.01,0.01,0,19.83,19.83,0,0.03,0.03,0,0.1,0.1,0,0.09,0.09,0,3.7,3.7,0,0,0,0,0.01,0.01,0,178,3
D,DREGION,,2,"2026/03/08 05:00:00",1,NSW1,0,72.5,0,72.5,0,0,6540.92,18,5880.66,17,-677.25,0,,,29,,,,,,,,73,,,,,,,,68,,,,,,,,100,,,,,,,,91,,,,,,,,90,,,,,,4.32713,13812.49044,884,6575.90339,6607.8,,17,,,,39,,,,,,,,,,,,,,,,,,,0.04,0.04,0,0.03,0.03,0,0.03,0.03,0,1,1,0,0.01,0.01,0,0.03,0.03,0,0.03,0.03,0,1,1,0,0,0,0,0.03,0.03,0,67,12.56
D,DREGION,,2,"2026/03/08 05:00:00",1,QLD1,0,76.52936,0,76.52936,0,0,6029.61,8,5816.87,50,-262.73,0,,,116.57,,,,,,,,125,,,,,,,,125,,,,,,,,117,,,,,,,,132,,,,,,,,211,,,,,,-20.97915,11009.33896,1838,6118.56053,6082.44,,35,,,,0,,,,,,,,,,,,,,,,,,,0.04,0.04,0,0.03,0.03,0,0.03,0.03,0,1,1,0,0.01,0.01,0,0.03,0.03,0,0.03,0.03,0,1,1,0,0,0,0,0.03,0.03,0,111.53,0
D,DREGION,,2,"2026/03/08 05:00:00",1,SA1,0,-13.34918,0,-13.34918,0,0,1139.33,1,1258.15,0,118.82,0,,,68,,,,,,,,69,,,,,,,,54.82,,,,,,,,64,,,,,,,,64,,,,,,,,83,,,,,,-3.4571,3461.07487,817,1148.565,1143.78,,11,,,,72,,,,,,,,,,,,,,,,,,,0.04,0.04,0,0.03,0.03,0,0.03,0.03,0,1,1,0,0.01,0.01,0,0.03,0.03,0,0.03,0.03,0,1,1,0,0,0,0,0.03,0.03,0,21,0
D,DREGION,,2,"2026/03/08 05:00:00",1,TAS1,0,60.64766,0,60.64766,0,0,888.81,2,776.49,0,-112.32,0,,,0,,,,,,,,41.67,,,,,,,,41.67,,,,,,,,0,,,,,,,,35,,,,,,,,35,,,,,,-2.39747,1877.49176,0,889.20966,888.81,,50,,,,50,,,,,,,,,,,,,,,,,,,0.38,0.38,0,0.38,0.38,0,0.03,0.03,0,4.02,4.02,0,0.38,0.38,0,0.38,0.38,0,0.03,0.03,0,0.99,0.99,0,0,0,0,0.03,0.03,0,0,0
